url|date|author|keywords|title|description|resort|free_readable
https://www.spiegel.de/panorama/leute/silvio-berlusconi-86-nachruf-a-68ca9ee6-19e9-4943-859d-26e61a898a2d?context=issue|2023-12-06T13:00:00+01:00|DER SPIEGEL|Panorama, Leute, Silvio Berlusconi, Italien, Nachrufe|Silvio Berlusconi: Nachruf|Seine Totenfeier im Mailänder Dom war filmreif wie fast alles in seinem Leben. Da waren die fünf Kinder von Silvio Berlusconi, die sein Milliardenimperium erben – und damit einen Großteil des italienischen Privatfernsehens. Da war seine 54 Jahre jüngere…|panorama|true
https://www.spiegel.de/panorama/sinead-oconnor-56-nachruf-a-06a8deba-8302-4907-ac5f-dc534cf7bf34?context=issue|2023-12-06T14:23:00+01:00|DER SPIEGEL|Panorama, Sinéad O'Connor, Popmusik|Sinéad O'Connor, 56 - Nachruf|Sie habe geweint »wie ein Kind vor dem Tor zur Unterwelt«, als sie erfuhr, dass ihre Coverversion des Prince-Songs »Nothing Compares 2 U« die Spitze der US-Charts erreicht hatte – so jedenfalls erinnerte sich Sinéad O'Connor später in ihrer Autobiografie…|panorama|true
https://www.spiegel.de/panorama/milan-kundera-94-nachruf-a-528509cb-056f-43a5-96e2-2a55760ce6fc?context=issue|2023-12-06T14:03:00+01:00|DER SPIEGEL|Panorama, Milan Kundera, Tschechoslowakei|Milan Kundera, 94 - Nachruf|Nachdem Truppen des Warschauer Pakts 1968 den Prager Frühling niederschlugen, hatte Milan Kundera in der Tschechoslowakei keine Zukunft mehr: Der Reformkommunist flog aus der Staatspartei und von der Filmhochschule, an der er unterrichtete; seine Bücher…|panorama|true
https://www.spiegel.de/panorama/raquel-welch-82-nachruf-a-8cf23695-bed1-42eb-b37d-37e27986dd58?context=issue|2023-12-06T13:00:00+01:00|DER SPIEGEL|Panorama, Nachrufe|Raquel Welch: Nachruf|Sie stammte aus einer Zeit, in der Schauspielerinnen gern »Sexsymbol« genannt wurden. Als Höhlenmädchen Loana machte sie 1966 im Fellbikini mit dem Film »Eine Million Jahre vor unserer Zeit« Furore. Sie habe das als Chance gesehen, aus der sie das Beste…|panorama|true
https://www.spiegel.de/panorama/burt-bacharach-94-nachruf-a-c34bc587-ee3d-4fce-bb67-592b84ba4030?context=issue|2023-12-06T14:33:00+01:00|DER SPIEGEL|Panorama, Cher, Popmusik|Burt Bacharach, 94 - Nachruf|Nur wenige Songwriter der Popgeschichte schrieben so viele internationale Hits wie er. In über 60 Jahren komponierte Burt Bacharach Evergreens wie »Raindrops Keep Fallin’ on My Head« und »That’s What Friends Are For«. Er arbeitete mit Stars wie Aretha…|panorama|true
https://www.spiegel.de/panorama/tatjana-patitz-56-a-6ec95593-b732-485e-923f-52c8df53e63f?context=issue|2023-12-06T13:00:00+01:00|DER SPIEGEL|Panorama, Tatjana Patitz, Mode|Tatjana Patitz, 56 - Nachruf|Modefotograf Peter Lindbergh hat sie entdeckt und zum Weltstar gemacht. »Sie war ein echtes Mitglied der Supermodel-Gang«, schrieb Claudia Schiffer über ihre Kollegin – tatsächlich suchte Patitz früh Abstand zur Modewelt in Paris oder New York, um in…|panorama|true
https://www.spiegel.de/panorama/hans-modrow-95-nachruf-a-a2758d09-f8d2-4835-bf3c-65a20ce067cb?context=issue|2023-12-06T13:00:00+01:00|DER SPIEGEL|Panorama, Hans Modrow, Nachrufe|Hans Modrow: Nachruf|Im November 1989 wurde er zum Ministerpräsidenten der DDR. Kurz nach dem Mauerfall galt er in der Staatspartei SED als Hoffnungsträger. Als Mann, der vielleicht sogar zu einem deutschen Gorbatschow werden könnte. Doch für Reformen war es zu spät. Statt…|panorama|true
https://www.spiegel.de/panorama/heide-simonis-a-512fe897-2bce-481d-8427-aaed9acc3ffb?context=issue|2023-12-06T13:00:00+01:00|DER SPIEGEL|Panorama, Heide Simonis|Heide Simonis, 80 - Nachruf|Mit 33 Jahren zog sie als damals jüngste SPD-Abgeordnete in den Bundestag ein. Die Haushaltsexpertin legte sich bald mit Parteigranden wie Herbert Wehner und Willy Brandt an. »Immer nur lieb sein, das geht nicht«, sagte sie. 1993 wurde Heide Simonis in…|panorama|true
https://www.spiegel.de/panorama/gina-lollobrigida-95-nachruf-a-d40af52c-6638-4016-9fd1-1a69146df981?context=issue|2023-12-06T17:12:00+01:00|DER SPIEGEL|Panorama, Gina Lollobrigida, Kino|Gina Lollobrigida, 95 - Nachruf|Wenige Monate vor ihrem Tod wollte sie sich noch ins italienische Parlament wählen lassen. Im hohen Alter hatte sie einen 29-jährigen Lebensgefährten, der angeblich Teile ihres Vermögens durchbrachte. Nichts davon schmälerte den Ruf von Gina Lollobrigida…|panorama|true
https://www.spiegel.de/kultur/astrud-gilberto-83-nachruf-a-10a180b2-bde2-41c6-b18d-a1e47e368323?context=issue|2023-12-06T14:30:00+01:00|DER SPIEGEL|Kultur, Musik|Astrud Gilberto, 83 - Nachruf|Dieser Song, sagte ihr Stan Getz, »wird dich berühmt machen«. Der Saxofonist sollte recht behalten. Astrud Gilberto hatte zwar kaum musikalische Erfahrung, als sie 1963 »The Girl from Ipanema« einspielte. Doch das melancholische Bossa-nova-Stück über…|kultur|true
